順序	緯度	經度	海拔（約）	類型	名稱	時間
1	24.181509	121.281672	3374.5	gpx		2021-09-07T00:00:21+00:00
2(comm)	24.181500	121.281700	3374.6	comm	comm	2021-09-07T00:00:32.228887597+00:00
3	24.181720	121.282140	3376.0	gpx		2021-09-07T00:03:37+00:00
4	24.181536	121.282842	3376.0	gpx		2021-09-07T00:08:00+00:00
5	24.180580	121.283647	3369.0	gpx		2021-09-07T00:11:50+00:00
6	24.179909	121.284399	3358.2	gpx		2021-09-07T00:12:55+00:00
7	24.178694	121.285026	3340.9	gpx		2021-09-07T00:15:06+00:00
8	24.177538	121.285372	3324.4	gpx		2021-09-07T00:19:29+00:00
9	24.176735	121.285901	3316.6	gpx		2021-09-07T00:23:51+00:00
10	24.176059	121.285928	3306.5	gpx		2021-09-07T00:26:02+00:00
11	24.175012	121.286699	3285.2	gpx		2021-09-07T00:31:34+00:00
12	24.174406	121.286807	3280.4	gpx		2021-09-07T00:33:24+00:00
13	24.173280	121.287466	3248.9	gpx		2021-09-07T00:38:00+00:00
14(comm)	24.173100	121.287500	3248.9	comm	comm	2021-09-07T00:38:00+00:00
15	24.172790	121.287583	3234.1	gpx		2021-09-07T00:38:55+00:00
16	24.171968	121.287451	3151.9	gpx		2021-09-07T00:44:20+00:00
17	24.170800	121.287897	3139.8	gpx		2021-09-07T00:45:29+00:00
18	24.170521	121.287816	3138.4	gpx		2021-09-07T00:47:48+00:00
19	24.169466	121.287987	3115.3	gpx		2021-09-07T00:51:16+00:00
20	24.169005	121.287904	3102.1	gpx		2021-09-07T00:53:00+00:00
21	24.169001	121.288086	3092.3	gpx		2021-09-07T00:54:44+00:00
22	24.168714	121.288368	3079.8	gpx		2021-09-07T00:56:27+00:00
23	24.167469	121.288754	3052.3	gpx		2021-09-07T00:59:21+00:00
24	24.166917	121.289238	3031.5	gpx		2021-09-07T01:01:39+00:00
25	24.166540	121.289139	3018.1	gpx		2021-09-07T01:02:49+00:00
26	24.165651	121.289339	2986.0	gpx		2021-09-07T01:08:35+00:00
27(start)	24.165650	121.289340	2986.0	comm	start	2021-09-07T01:08:35+00:00
